"start_station_name","hour","total_trips"
"San Francisco Caltrain 2 (330 Townsend)",0,489
"San Francisco Caltrain (Townsend at 4th)",0,451
"Harry Bridges Plaza (Ferry Building)",0,420
"Embarcadero at Sansome",0,364
"2nd at Townsend",0,330
"Steuart at Market",0,296
"Townsend at 7th",0,279
"Temporary Transbay Terminal (Howard at Beale)",0,255
"Market at Sansome",0,224
"Market at 4th",0,217
"Market at 10th",0,210
"Powell Street BART",0,179
"Embarcadero at Folsom",0,164
"Beale at Market",0,159
"Howard at 2nd",0,159
"2nd at Folsom",0,157
"2nd at South Park",0,152
"Embarcadero at Bryant",0,150
"Broadway St at Battery St",0,143
"Grant Avenue at Columbus Avenue",0,141
"Mechanics Plaza (Market at Battery)",0,139
"Spear at Folsom",0,135
"Embarcadero at Vallejo",0,134
"5th at Howard",0,130
"Davis at Jackson",0,130
"Commercial at Montgomery",0,122
"Civic Center BART (7th at Market)",0,120
"Post at Kearny",0,115
"South Van Ness at Market",0,114
"Powell at Post (Union Square)",0,113
"Clay at Battery",0,107
"San Jose Diridon Caltrain Station",0,102
"Golden Gate at Polk",0,98
"Mountain View Caltrain Station",0,98
"Yerba Buena Center of the Arts (3rd @ Howard)",0,88
"Washington at Kearny",0,71
"Mountain View City Hall",0,40
"San Francisco City Hall",0,36
"Japantown",0,33
"Palo Alto Caltrain Station",0,32
"Castro Street and El Camino Real",0,27
"San Pedro Square",0,27
"Santa Clara at Almaden",0,26
"Ryland Park",0,25
"San Jose Civic Center",0,24
"SJSU - San Salvador at 9th",0,23
"Evelyn Park and Ride",0,21
"San Antonio Caltrain Station",0,21
"Paseo de San Antonio",0,20
"Redwood City Caltrain Station",0,19
"St James Park",0,19
"MLK Library",0,17
"San Jose City Hall",0,17
"California Ave Caltrain Station",0,16
"University and Emerson",0,16
"Cowper at University",0,15
"San Antonio Shopping Center",0,14
"Adobe on Almaden",0,13
"Stanford in Redwood City",0,12
"Arena Green / SAP Center",0,11
"SJSU 4th at San Carlos",0,11
"Rengstorff Avenue / California Street",0,10
"Park at Olive",0,9
"Santa Clara County Civic Center",0,9
"San Salvador at 1st",0,8
"San Mateo County Center",0,5
"Redwood City Public Library",0,4
"Mezes Park",0,3
"Redwood City Medical Center",0,3
"Franklin at Maple",0,1
